cas_number,ingredient_name,synonyms,category_4_limit_percent,reason,rule_year,source_pdf,smiles
84082-84-8;68917-34-0;73246-97-6;62563-80-8,Acetylated Vetiver oil,"Vetiveria zizanioides, extract, acetylated Oils, vetiver, acetylated Acetic acid, esters with vetiver oil alcohols Vetiverol, acetate Vetivert acetate (commercial name) Vetivert acetate (Haiti) (commercial name) Vetyveryl acetate (commercial name)",0.9,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,CC1CC(OC(C)=O)C=C(C)C2CC(CC12)=C(C)C
84012-20-4;97676-35-2,Alantroot oil,Alantroot oil (Inula helenium) Elecampane oil Inula helenium oil,,Skin Sensitization,2006.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,
,Allyl esters,Not applicable.,,,2009.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,
73157-43-4,Allyl heptine carbonate,Allyl 2-octynoate 2-Octynoic acid 2-Propenyl ester,,Skin Sensitization,2008.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,CCCCCC#CC(=O)OCC=C
57-06-7;8007-40-7;84775-62-2,Allyl isothiocyanate,"Allyl isosulfocyanate Allyl thiocarbonimide 1-Propenal, 3-isothiocyanato- 2-Propenyl isothiocyanate AITC",,,2020.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,C=CCN=C=S
7493-74-5;863306-60-9,Allyl phenoxyacetate,"Acetic acid, phenoxy-, 2-propenyl ester 2-Propenyl phenoxyacetate Prop-2-enyl 2-phenoxyacetate Acetate PA",0.3,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,C=CCOC(=O)COc1ccccc1
101-85-9,α-Amyl cinnamic alcohol,"Amylcinnamyl alcohol α-Amylcinnamyl alcohol 2-Amyl-3-phenyl-2-propen-1-ol 2-Benzylideneheptanol 1-Heptanol, 2-(phenylmethylene)- α-Pentylcinnamyl alcohol",1.5,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,CCCCC\C(CO)=C/c1ccccc1
122-40-7;68527-78-6,α-Amyl cinnamic aldehyde,"Amyl cinnamal Amyl cinnamic aldehyde α-Amylcinnamaldehyde α-Amyl ß-phenylacrolein Heptanal, 2-(phenylmethylene) α-Pentylcinnamaldehyde α-Pentyl-ß-phenylacrolein 2-(Phenylmethylene)heptanal Flomine (commercial name)",7.0,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,CCCCC/C(C=O)=C/c1ccccc1
25564-22-1,Amylcyclopentenone,"2-Cyclopenten-1-one, 2-pentyl- 2-Pentyl-2-cyclopentenone 2-Pentylcyclopent-2-en-1-one",,Skin Sensitization,2008.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,CCCCCC1=CCCC1=O
8015-64-3;84775-41-7,Angelica root oil,Angelica archangelica oil Angelica archangelica root oil Angelica root oil (Angelica archangelica L.),0.8,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,
105-13-5;1331-81-3;8023-82-3;8024-06-4;953789-39-4;8047-24-3,Anisyl alcohol,"Anisalcohol Anise alcohol Anisic alcohol Benzyl alcohol, p-methoxy p-Methoxybenzyl alcohol",0.21,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,COc1ccc(CO)cc1
943-88-4,Anisylidene acetone,"3-Butene-2-one, 4-(4-methoxyphenyl) ester 4-(p-methoxyphenyl)-3-butene-2-one Methyl p-methoxycinnamyl ketone",,Skin Sensitization,2006.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,COc1ccc(\C=C\C(C)=O)cc1
494-40-6;2883-98-9;5273-86-9;8015-79-0;8007-87-2;8024-12-2,cis-and trans-Asarone,"494-40-6: Benzene, 1,2,4-trimethoxy-5-(1-propen-1-yl)- (unspecified isomer) (E)-and (Z)-2,4,5-Trimethoxypropen-1-yl benzene 2883-98-9: α-Asarone trans-Asarone Benzene, 1,2,4-trimethoxy-5-(1-propenyl)-, (E)- trans-Isoasarone 5273-86-9: ß-Asarone cis-ß-Asarone Benzene, 1,2,4-trimethoxy-5-(1-propenyl)-, (Z)- cis-Isoasarone",,,2006.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,COc1cc(OC)c(\C=C\C)cc1OC
100-52-7;8013-76-1;8007-00-9;8008-98-8;8007-80-5;8023-82-3;84604-07-9;8015-91-6;97659-68-2;8016-26-0;8016-03-3;8023-94-7;68917-77-1;8014-68-4;90106-38-0;8046-19-3;8024-03-1;39129-16-3,Benzaldehyde,"Benzenecarbonal Benzene carboxaldehyde Benzenecarboxaldehyde Benzenemethylal Benzoic aldehyde Bitter almond oil, synthetic Phenylformaldehyde Phenylmethanol aldehyde",0.25,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,O=Cc1ccccc1
71-43-2,Benzene,Benzol,,,2004.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,c1ccccc1
100-51-6;8007-00-9;8021-43-0;8023-82-3;8015-91-6;68916-09-6;683748-01-8;8023-94-7;8022-96-6;8024-43-9;103798-23-6;8031-03-6;68917-12-4;90106-38-0;8007-01-0;8046-19-3;8024-03-1;8024-05-3;8024-08-6;8006-81-3;68952-44-3,Benzyl alcohol,Benzenemethanol Benzylic alcohol α-Hydroxytoluene Phenylcarbinol Phenyl carbinol Phenylmethanol Phenylmethyl alcohol α-Toluenol,2.5,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/50th-amendment/standards-compiled.pdf,OCc1ccccc1
